study_r,location,n,distribution,transmission_parameter,distribution_parameter,dist_par_r,central_measure,uncertainty_95_percent_ci,source
cheng,Taiwan,12 pairs,Gamma,SI,Gamma rate,g_r,0.16286645,NA,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7195694/
du,China not Wuhan,468 pairs,Normal,SI,Normal SD,n_sd,4.75,4.46-5.07,https://wwwnc.cdc.gov/eid/article/26/6/20-0357_article
du,China not Wuhan,468 pairs,Normal,SI,Normal mean,n_m,3.96,3.53-4.39,https://wwwnc.cdc.gov/eid/article/26/6/20-0357_article
du_a,China not Wuhan,339 pairs,Normal,SI,Normal mean,n_m,5.29,4.72Ð5.86,https://www.medrxiv.org/content/10.1101/2020.04.23.20075796v1
du_a,China not Wuhan,339 pairs,Normal,SI,Normal SD,n_sd,5.32,4.95Ð5.75,https://www.medrxiv.org/content/10.1101/2020.04.23.20075796v1
ferretti,"China, Taiwan, South Korea, Veitnam, Singapore, Germany, Italy",40  pairs,Weibull,GT,mean,mean,5,NA,https://science.sciencemag.org/content/368/6491/eabb6936
ferretti,"China, Taiwan, South Korea, Veitnam, Singapore, Germany, Italy",40  pairs,Weibull,GT,Weibull scale,w_sc,5.665,4.7 - 6.9,https://science.sciencemag.org/content/368/6491/eabb6936
ferretti,"China, Taiwan, South Korea, Veitnam, Singapore, Germany, Italy",40  pairs,Weibull,GT,SD,SD,1.9,NA,https://science.sciencemag.org/content/368/6491/eabb6936
ferretti,"China, Taiwan, South Korea, Veitnam, Singapore, Germany, Italy",40  pairs,Weibull,GT,Weibull shape,w_sh,2.826,1.75 - 4.7,https://science.sciencemag.org/content/368/6491/eabb6936
ferretti,"China, Taiwan, South Korea, Veitnam, Singapore, Germany, Italy",40  pairs,Weibull,GT,median,median,5,NA,https://science.sciencemag.org/content/368/6491/eabb6936
ganyani_singapore_base,Singapore,91 cases (54 with known contacts),Gamma,GT,Gamma rate*,g_r,1.76,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_base,Singapore,91 cases (54 with known contacts),Gamma,GT,mean,mean,5.2,3.78-6.78,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_base,Singapore,91 cases (54 with known contacts),Gamma,GT,Gamma shape*,g_sh,9.14,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_base,Singapore,91 cases (54 with known contacts),Gamma,GT,sd,sd,1.71,0.91-3.93,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_neg,Singapore,91 cases (54 with known contacts),Gamma,GT,mean,mean,3.86,2.22-5.6,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_neg,Singapore,91 cases (54 with known contacts),Gamma,GT,sd,sd,2.65,0.87-5.43,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_neg,Singapore,91 cases (54 with known contacts),Gamma,GT,Gamma shape,g_sh,2.12,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_singapore_neg,Singapore,91 cases (54 with known contacts),Gamma,GT,Gamma rate,g_r,0.55,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_base,Tianjin China,135 cases (114 with known contacts),Gamma,GT,Gamma rate,g_r,1.73,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_base,Tianjin China,135 cases (114 with known contacts),Gamma,GT,mean,mean,3.95,3.01-4.91,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_base,Tianjin China,135 cases (114 with known contacts),Gamma,GT,Gamma shape,g_sh,6.84,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_base,Tianjin China,135 cases (114 with known contacts),Gamma,GT,sd,sd,1.51,0.74-2.97,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_neg,Tianjin China,135 cases (114 with known contacts),Gamma,GT,mean,mean,2.9,1.85-4.12,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_neg,Tianjin China,135 cases (114 with known contacts),Gamma,GT,sd,sd,2.86,1.37-5.04,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_neg,Tianjin China,135 cases (114 with known contacts),Gamma,GT,Gamma shape,g_sh,1.03,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
ganyani_tianjin_neg,Tianjin China,135 cases (114 with known contacts),Gamma,GT,Gamma rate,g_r,0.36,NA,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.17.2000257
he,"China,Taiwan,Japan,Vietnam,Malaysia,Singapore,USA",77 pairs,Shifted Gamma 7.6% negative Sis,SI,mean,mean,5.8,4.8Ð6.8,https://www.nature.com/articles/s41591-020-0869-5
he,"China,Taiwan,Japan,Vietnam,Malaysia,Singapore,USA",77 pairs,Shifted Gamma 7.6% negative Sis,SI,median,median,5.2,4.1Ð6.4,https://www.nature.com/articles/s41591-020-0869-5
he,"China,Taiwan,Japan,Vietnam,Malaysia,Singapore,USA",77 pairs,Shifted Gamma 7.6% negative Sis,SI,Gamma shape (-7days),g_sh,8.123758,NA,https://www.nature.com/articles/s41591-020-0869-5
he,"China,Taiwan,Japan,Vietnam,Malaysia,Singapore,USA",77 pairs,Shifted Gamma 7.6% negative Sis,SI,Gamma rate (-7 days),g_r,0.6361684,NA,https://www.nature.com/articles/s41591-020-0869-5
lavezzo,Northern Italy,"?166  cases, 120  transmission pairs",Gamma,SI,sd,sd,2.85,NA,https://www.medrxiv.org/content/10.1101/2020.04.17.20053157v1
lavezzo,Northern Italy,"?166  cases, 120  transmission pairs",Gamma,SI,gamma shape,g_sh,5.93,NA,https://www.medrxiv.org/content/10.1101/2020.04.17.20053157v1
lavezzo,Northern Italy,"?166  cases, 120  transmission pairs",Gamma,SI,gamma rate,g_r,0.854700855,NA,https://www.medrxiv.org/content/10.1101/2020.04.17.20053157v1
lavezzo,Northern Italy,"?166  cases, 120  transmission pairs",Gamma,SI,mean,mean,6.93,2.6-13.4,https://www.medrxiv.org/content/10.1101/2020.04.17.20053157v1
li,Wuhan,6 pairs,Gamma,SI,mean,mean,7.5,5.3-19,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316
li,Wuhan,6 pairs,Gamma,SI,Gamma shape,g_sh,4.865917,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316
li,Wuhan,6 pairs,Gamma,SI,Gamma rate,g_r,0.6487889,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316
li,Wuhan,6 pairs,Gamma,SI,SD,sd,3.4,NA,https://www.nejm.org/doi/full/10.1056/NEJMoa2001316
liao,"_Chongqing, China",12 pairs,Gamma,SI,mean,mean,6.5,2.45-17.38,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1
liao,"_Chongqing, China",12 pairs,Gamma,SI,median,median,1.91,0.37-6.16,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1
liao,"_Chongqing, China",12 pairs,Gamma,SI,5th percentile,5th percentile,0.01,0-0.01,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1
liao,"_Chongqing, China",12 pairs,Gamma,SI,95th percentile,95th percentile,28.57,10.35-76.9,https://www.medrxiv.org/content/10.1101/2020.03.10.20032136v1
ma,"China (including Hong Kong, Macau, Taiwan), Japan, Singapore, South Korea, Malasya, Vietnam, Germany",689 pairs,Normal,SI,Normal mean,n_m,6.7,6.31-7.10,https://www.medrxiv.org/content/10.1101/2020.03.21.20040329v1
ma,"China (including Hong Kong, Macau, Taiwan), Japan, Singapore, South Korea, Malasya, Vietnam, Germany",689 pairs,Normal,SI,Normal SD,n_sd,5.2,4.91-5.46,https://www.medrxiv.org/content/10.1101/2020.03.21.20040329v1
ma,"China (including Hong Kong, Macau, Taiwan), Japan, Singapore, South Korea, Malasya, Vietnam, Germany",689 pairs,Normal,SI,median,median,6,NA,https://www.medrxiv.org/content/10.1101/2020.03.21.20040329v1
nishiura_18,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",18 pairs,Weibull,SI,mean,mean,4.8,3.8-6.1,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_18,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",18 pairs,Weibull,SI,sd,sd,2.3,1.6-3.5,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_18,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",18 pairs,Weibull,SI,Weibull shape,w_sh,2.203391,NA,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_18,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",18 pairs,Weibull,SI,Weibull scale,w_sc,5.419875,NA,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_28,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",28 pairs,Lognormal,SI,median,median,4,3.1-4.9,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_28,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",28 pairs,Lognormal,SI,Lognormal meanlog,ln_ml,1.386262,NA,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_28,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",28 pairs,Lognormal,SI,mean,mean,4.7,3.7-6,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_28,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",28 pairs,Lognormal,SI,sd,sd,2.9,1.9-4.9,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
nishiura_28,"China, Taiwan, South Korea,Vietnam, Singapore, Germany",28 pairs,Lognormal,SI,Lognormal Sdlog,ln_sdl,0.5679803,NA,https://www.ijidonline.com/article/S1201-9712(20)30119-3/pdf
tindale_singapore,Singapore,93 pairs,Normal,SI,Normal_SD,n_sd,0.95,NA,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1
tindale_singapore,Singapore,93 pairs,Normal,SI,Normal_mean,n_m,4.56,2.69-6.42,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1
tindale_tianjin,"Tianjin, China",125 pairs,Normal,SI,Normal SD,n_sd,0.4,NA,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1
tindale_tianjin,"Tianjin, China",125 pairs,Normal,SI,Normal mean,n_m,4.22,3.43-5.01,https://www.medrxiv.org/content/10.1101/2020.03.03.20029983v1
wang_teunis,"Tianjin, China",112 cases,Gamma,SI,mean,mean,4.8,NA,https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1.full.pdf
wang_teunis,"Tianjin, China",112 cases,Gamma,SI,gamma rate,g_r,0.657894737,NA,https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1.full.pdf
wang_teunis,"Tianjin, China",112 cases,Gamma,SI,gamma shape,g_sh,3.16,NA,https://www.medrxiv.org/content/10.1101/2020.03.10.20033852v1.full.pdf
wu,"China, Taiwan, Singapore, Vietnam, malasya, USA",43 pairs,Gamma,SI,mean,mean,7,5.8-8.1,https://www.nature.com/articles/s41591-020-0822-7
wu,"China, Taiwan, Singapore, Vietnam, malasya, USA",43 pairs,Gamma,SI,sd,sd,4.5,3.5-5.5,https://www.nature.com/articles/s41591-020-0822-7
wu,"China, Taiwan, Singapore, Vietnam, malasya, USA",43 pairs,Gamma,SI,gamma shape,g_sh,2.419753,NA,https://www.nature.com/articles/s41591-020-0822-7
wu,"China, Taiwan, Singapore, Vietnam, malasya, USA",43 pairs,Gamma,SI,gamma rate,g_r,0.345679,NA,https://www.nature.com/articles/s41591-020-0822-7
zhang,China (excluding Hubei Province),35 pairs,Gamma,SI,mean,mean,5.1,1.3-11.6,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30230-9/fulltext
zhang,China (excluding Hubei Province),35 pairs,Gamma,SI,gamma shape,g_sh,3.63,NA,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30230-9/fulltext
zhang,China (excluding Hubei Province),35 pairs,Gamma,SI,gamma rate,g_r,0.71,NA,https://www.thelancet.com/journals/laninf/article/PIIS1473-3099(20)30230-9/fulltext
zhao_a_12,Hong Kong,12 case pairs,Gamma,SI,mean,mean,3.1,2-5.4,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_12,Hong Kong,12 case pairs,Gamma,SI,sd,sd,1.8,1-4.7,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_12,Hong Kong,12 case pairs,Gamma,SI,gamma shape,g_sh,2.966049,NA,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_12,Hong Kong,12 case pairs,Gamma,SI,gamma rate,g_r,0.9567901,NA,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_21,Hong Kong,21 transmission chains,Gamma,SI,mean,mean,4.4,2.9-6.7,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_21,Hong Kong,21 transmission chains,Gamma,SI,sd,sd,3,1.8-5.8,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_21,Hong Kong,21 transmission chains,Gamma,SI,gamma shape,g_sh,2.151111,NA,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_a_21,Hong Kong,21 transmission chains,Gamma,SI,gamma rate,g_r,0.4888889,NA,https://www.medrxiv.org/content/10.1101/2020.02.21.20026559v1
zhao_b,Hong Kong and Shenzen,48 pairs,Gamma,SI,Mean,mean,5.2,NA,https://www.ncbi.nlm.nih.gov/pubmed/32146921
zhao_b,Hong Kong and Shenzen,48 pairs,Gamma,SI,SD,sd,,,https://www.ncbi.nlm.nih.gov/pubmed/32146921
zhao_b,Hong Kong and Shenzen,48 pairs,Gamma,SI,gamma shape,g_sh,1.6691844,,https://www.ncbi.nlm.nih.gov/pubmed/32146921
zhao_b,Hong Kong and Shenzen,48 pairs,Gamma,SI,gamma rate,g_r,0.3224628,,https://www.ncbi.nlm.nih.gov/pubmed/32146921
